#Deutsch	Furigana	Romaji	Type	Baseform	Romaji  
Ich bin diesen Monat nach Japan gekommen.	今[こん]月[げつ]日本[にほん]に 来[き]ました。	Kongetsu Nihon ni kimashita.	Beispielsatz		
Ich bin diesen Monat etwas beschäftigt.	今[こん]月[げつ]はちょっと 忙[いそが]しいです。	Kongetsu wa chotto isogashii desu.	Beispielsatz		
Ich bin heute nicht beschäftigt.	今日[きょう]は 忙[いそが]しくないです。	Kyou wa isogashikunai desu.	Beispielsatz		
Ich bin diese Woche nicht beschäftigt.	今[こん]週[しゅう]は 忙[いそが]しくありません。	Konshuu wa isogashiku arimasen.	Beispielsatz		
Ich werde das Hotel anrufen.	ホテルに 電[でん]話[わ]をかけます。	Hoteru ni denwa o kakemasu.	Beispielsatz		
Katzen spielen nicht Klavier.	猫[ねこ]はピアノを 弾[ひ]きません。	Neko wa piano o hikimasen.	Beispielsatz		
Ich bin letzte Woche nach Japan gekommen.	先[せん]週[しゅう]日本[にほん]に 来[き]ました。	Senshuu Nihon ni kimashita.	Beispielsatz		
Letzte Woche bin ich viel gelaufen.	先[せん]週[しゅう]はたくさん 走[はし]りました。	Senshuu wa takusan hashirimashita.	Beispielsatz		
Ich habe gestern viel Gitarre gespielt.	昨日[きのう]はたくさんギターを 弾[ひ]きました。	Kinou wa takusan gitaa o hikimashita.	Beispielsatz		
Letzten Monat bin ich nicht viel geschwommen.	先[せん]月[げつ]はあまり 泳[およ]ぎませんでした。	Sengetsu wa amari oyogimasen deshita.	Beispielsatz		
Ich übe das Klavierspiel.	ピアノを 練[れん]習[しゅう]します。	Piano o renshuu shimasu.	Beispielsatz		
Ich werde übernächste Woche nicht beschäftigt sein.	再[さ]来[らい]週[しゅう]は 忙[いそが]しくないです。	Saraishuu wa isogashikunai desu.	Beispielsatz		
Lasst uns auch übernächste Woche üben.	再[さ]来[らい]週[しゅう]も 練[れん]習[しゅう]しましょう。	Saraishuu mo renshuu shimashou.	Beispielsatz		
Mein Lehrer unterrichtet sowohl Klavier als auch Gitarre.	私[わたし]の 先[せん]生[せい]はピアノもギターも 教[おし]えます。	Watashi no sensei wa piano mo gitaa mo oshiemasu.	Beispielsatz		
Ab übernächster Woche unterrichte ich Klavier.	再[さ]来[らい]週[しゅう]から ピアノを 教[おし]えます。	Saraishuu kara piano o oshiemasu.	Beispielsatz		
Ich koche oft.	よく 料[りょう]理[り]します。	Yoku ryouri shimasu.	Beispielsatz		
Was hast du zubereitet?	何[なに]を 作[つく]りましたか。	Nani o tsukurimashita ka.	Beispielsatz		
Was für ein Essen hast du zubereitet?	何[なん]の 料[りょう]理[り]を 作[つく]りましたか。	Nanno ryouri o tsukurimashita ka.	Beispielsatz		
Magst du das Kochen?	料[りょう]理[り]は 好[す]きですか。	Ryouri wa suki desu ka.	Beispielsatz		
Soll ich etwas zubereiten?	何[なに]か 作[つく]りましょうか。	Nanika tsukurimashou ka.	Beispielsatz		
Wie wäre es mit brasilianischem Essen?	ブラジル 料[りょう]理[り]はどう？	Burajiru ryouri wa dou?	Beispielsatz		
Koreanisches Essen ist köstlich.	韓[かん]国[こく]料[りょう]理[り]は おいしいです。	Kankoku ryouri wa oishii desu.	Beispielsatz		
Am Wochenende koche ich mit Freunden.	週[しゅう]末[まつ]、友[とも]達[だち]と 料[りょう]理[り]します。	Shuumatsu, tomodachi to ryouri shimasu.	Beispielsatz		
Gibt es da irgendetwas?	そこに 何[なに]かありますか。	Soko ni nanika arimasu ka.	Beispielsatz		
Haben wir uns irgendwo getroffen? /bescheiden/	どこかでお 会[あ]いしましたか。	Dokoka de o-ai shimashita ka.	Beispielsatz		
Lass uns mit dem Taxi fahren.	タクシーで 行[い]きましょう。	Takushii de ikimashou.	Beispielsatz		
Ich werde dich (ab) jetzt anrufen.	今[いま]からあなたに 電[でん]話[わ]をかけます。	Ima kara anata ni denwa o kakemasu.	Beispielsatz		
Gestern war es sonnig.	昨日[きのう]は 晴[は]れでした。	Kinou wa hare deshita.	Beispielsatz		
Es ist nicht gut.	よくないです。	Yokunai desu.	Beispielsatz		
Es ist nicht (unbedingt) schlecht.	悪[わる]くはないです。	Waruku wa nai desu.	Beispielsatz		
Das Wetter morgen wird nicht schlecht sein.	明[あ]日[した]の 天[てん]気[き]は 悪[わる]くないです。	Ashita no tenki wa warukunai desu.	Beispielsatz		
Heute ist es sonnig.	今日[きょう]は 晴[は]れです。	Kyou wa hare desu.	Beispielsatz		
Das Wetter ist diesen Monat nicht gut.	今[こん]月[げつ]は 天[てん]気[き]がよくないです。	Kongetsu wa tenki ga yokunai desu.	Beispielsatz		
Es ist weder gut noch schlecht.	よくも 悪[わる]くもないです。	Yoku mo waruku mo nai desu.	Beispielsatz		
Heute ist es bewölkt.	今日[きょう]は 曇[くも]りです。	Kyou wa kumori desu.	Beispielsatz		
Es fällt Regen.	雨[あめ]が 降[ふ]ります。	Ame ga furimasu.	Beispielsatz		
Gestern war es ein regnerischer Tag.	昨日[きのう]は 雨[あめ]の 日[ひ]でした。	Kinou wa ame no hi deshita.	Beispielsatz		
Letzten Monat hat es oft geregnet.	先[せん]月[げつ]は よく 雨[あめ]が 降[ふ]りました。	Sengetsu wa yoku ame ga furimashita.	Beispielsatz		
Heute Abend schneit es / fällt Schnee.	今[こん]晩[ばん]、 雪[ゆき]が 降[ふ]ります。	Konban, yuki ga furimasu.	Beispielsatz		
Heute Morgen hat es geregnet.	今朝[けさ]、 雨[あめ]が 降[ふ]りました。	Kesa, ame ga furimashita.	Beispielsatz		
Ist es morgens nicht hell?	朝[あさ]は 明[あか]るくないですか。	Asa wa akarukunai desu ka.	Beispielsatz		
Ist es nicht dunkel?	暗[くら]くないですか。	Kurakunai desu ka.	Beispielsatz		
Es regnet gerade.	雨[あめ]が 降[ふ]っています。	Ame ga futteimasu.	Beispielsatz		
Der Spiegel ist trübe geworden.	鏡[かがみ]が 曇[くも]っています。	Kagami ga kumotteimasu.	Beispielsatz		
Der Himmel klart sich auf.	空[そら]が 晴[は]れています。	Sora ga hareteimasu.	Beispielsatz		
Heute wird es auch sonnig.	今日[きょう]も 晴[は]れています。	Kyou mo hareteimasu.	Beispielsatz		
Regnet es gerade?	雨[あめ]が 降[ふ]っていますか。	Ame ga futteimasu ka.	Beispielsatz		
Abends ist es dunkel.	夕[ゆう]方[がた]は 暗[くら]いです。	Yuugata wa kurai desu.	Beispielsatz		
Ist es abends nicht dunkel?	夕[ゆう]方[がた]は 暗[くら]くないですか。	Yuugata wa kurakunai desu ka.	Beispielsatz		
Der Wind ist schwach.	風[かぜ]は 弱[よわ]いです。	Kaze wa yowai desu.	Beispielsatz		
Es ist nicht schwach.	弱[よわ]く は ないです。	Yowaku wa nai desu.	Beispielsatz		
Ist der Wind heute nicht schwach?	今日[きょう]は 風[かぜ]が 弱[よわ]くないですか。	Kyou wa kaze ga yowakunai desu ka.	Beispielsatz		
Lass uns wieder treffen.	また 会[あ]いましょう。	Mata aimashou.	Beispielsatz		
Es weht gerade ein schwacher Wind.	弱[よわ]い 風[かぜ]が 吹[ふ]いています。	Yowai kaze ga fuiteimasu.	Beispielsatz		
Es weht gerade ein starker Wind.	強[つよ]い 風[かぜ]が 吹[ふ]いています。	Tsuyoi kaze ga fuiteimasu.	Beispielsatz		
Der Wind weht stark.	風[かぜ]が 強[つよ]く 吹[ふ]きます。	Kaze ga tsuyoku fukimasu.	Beispielsatz		
Ist der Wind nicht stark?	風[かぜ]が 強[つよ]くないですか。	Kaze ga tsuyokunai desu ka.	Beispielsatz		
Wieder ist es heute sonnig.	また、 今日[きょう]は 晴[は]れです。	Mata, kyou wa hare desu.	Beispielsatz		
Und, wie ist das morgige Wetter?	また、 明[あ]日[した]の 天[てん]気[き]は 何[なん]ですか。	Mata, ashita no tenki wa nan desu ka.	Beispielsatz		
Der Wind ist nicht sehr stark.	風[かぜ]はあまり 強[つよ]くないです。	Kaze wa amari tsuyokunai desu.	Beispielsatz		
Wie stark ist der Wind?	風[かぜ]はどれくらい 強[つよ]いですか。	Kaze wa dore kurai tsuyoi desu ka.	Beispielsatz		
Tagsüber ist es nicht dunkel.	昼[ひる]間[ま]は 暗[くら]くないです。	Hiruma wa kurakunai desu.	Beispielsatz		
Der Himmel ist groß.	空[そら]は 大[おお]きいです。	Sora wa ookii desu.	Beispielsatz		
Letzte Nacht hat es geschneit.	夕[ゆう]べは 雪[ゆき]が 降[ふ]りました。	Yuube wa yuki ga furimashita.	Beispielsatz		
Dieses Zimmer ist nicht hell.	この 部屋[へや]は 明[あか]るくないです。	Kono heya wa akarukunai desu.	Beispielsatz		
Es schneit gerade.	雪[ゆき]が 降[ふ]っています。	Yuki ga futteimasu.	Beispielsatz		
Der Himmel ist bewölkt.	空[そら]が 曇[くも]っています。	Sora ga kumotteimasu.	Beispielsatz		
Es schneit gerade nicht.	雪[ゆき]は 降[ふ]っていません。	Yuki wa futteimasen.	Beispielsatz		
Es regnet immer noch.	まだ 雨[あめ]が 降[ふ]っています。	Mada ame ga futteimasu.	Beispielsatz		
Das Wetter ist heute etwas schlecht, nicht wahr?	今日[きょう]はちょっと 天[てん]気[き]が 悪[わる]いですね。	Kyou wa chotto tenki ga warui desu ne.	Beispielsatz		
Ist der Himmel klar oder bewölkt?	空[そら]は 晴[は]れていますか、 曇[くも]っていますか。	Sora wa hareteimasu ka, kumotteimasu ka.	Beispielsatz		
überhaupt nicht, gar nicht, völlig	全[ぜん]然[ぜん]	zenzen	Vokabel-Adverb		
Abendessen /informell/	夕[ゆう]飯[はん]	yuuhan	Vokabel-Nomen		
nicht gut schmeckend	おいしくない	oishikunai	Vokabel-Adj-i		
Obst, Frucht	果物[くだもの]	kudamono	Vokabel-Nomen		
Bento-Box (jap. Lunch-Box) /höflich/	お 弁[べん]当[とう]	obentou	Vokabel-Nomen		
viel, zahlreich	多[おお]い	ooi	Vokabel-Adj-i		
Zucker	砂[さ]糖[とう]	satou	Vokabel-Nomen		
Minze, Pfefferminze	ミント	minto	Vokabel-Katakana		
alle, alles; ganz, gesamt, zusammen	全[ぜん]部[ぶ]	zenbu	Vokabel-Nomen		
wunderbar, herrlich, angenehm; ausreichend, genug; ziemlich, einigermaßen	結[けっ]構[こう]	kekkou	Vokabel-Adj-na		
Getränk, etwas zu trinken	飲[の]み 物[もの]	nomimono	Vokabel-Nomen		
wenig, gering, nicht genug; selten	少[すく]ない	sukunai	Vokabel-Adj-i		
Essen, Speise, Lebensmittel, Nahrung, etwas zu essen	食[た]べ 物[もの]	tabemono	Vokabel-Nomen		
nicht viel, nicht zahlreich	多[おお]くない	ookunai	Vokabel-Adj-i		
völlig, ganz; /verneint:/ überhaupt, gar	まったく	mattaku	Vokabel-Adverb		
Alkohol, Sake /höflich/	お 酒[さけ]	osake	Vokabel-Nomen		
Getränk, etwas zu trinken /höflich/	お 飲[の]み 物[もの]	onomimono	Vokabel-Nomen		
wollen Sie ...?; möchten Sie ...?	にしますか	ni shimasu ka	Vokabel-Expr		
wo, wohin, in welcher Richtung; wer; welcher /höflich/	どちら	dochira	Vokabel-Pron		
wie, in welcher Weise, wodurch	どうやって	douyatte	Vokabel-Expr		
Bank, Finanzinstitut	銀[ぎん]行[こう]	ginkou	Vokabel-Nomen		
die/jene Richtung, dort(hin), da; der Ort da, die Person da /höflich/	そちら	sochira	Vokabel-Pron		
Geschäft, Laden, Restaurant /höflich/	お 店[みせ]	omise	Vokabel-Nomen		
Weg, Straße, Strecke	道[みち]	michi	Vokabel-Nomen		
verlassen, hinausgehen /höflich/	出[で]ます	demasu	Vokabel-Verb-1st	出[で]る	deru
verlassen haben, hinausgegangen sein /höflich/	出[で]ました	demashita	Vokabel-Verb-1st	出[で]る	deru
dort drüben, das da drüben; in jener Richtung /höflich/	あちら	achira	Vokabel-Pron		
auf der anderen Seite, da drüben	向[む]こう	mukou	Vokabel-Nomen		
Osten	東[ひがし]	higashi	Vokabel-Nomen		
Süden	南[みなみ]	minami	Vokabel-Nomen		
Westen	西[にし]	nishi	Vokabel-Nomen		
Norden	北[きた]	kita	Vokabel-Nomen		
Nordosten	北[ほく]東[とう]	hokutou	Vokabel-Nomen		
Straße	通[とお]り	toori	Vokabel-Nomen		
entlanggehen, vorbeigehen /höflich/	通[とお]ります	toorimasu	Vokabel-Verb-5st	通[とお]る	tooru
groß /Attribut/	大[おお]きな	ookina	Vokabel-Attrib		
klein /Attribut/	小[ちい]さな	chiisana	Vokabel-Attrib		
hinabsteigen, aussteigen /höflich/	降[お]ります	orimasu	Vokabel-Verb-1st	降[お]りる	oriru
nicht hinabsteigen, nicht aussteigen /höflich/	降[お]りません	orimasen	Vokabel-Verb-1st	降[お]りる	oriru
zuerst, am Anfang	初[はじ]めに	hajime ni	Vokabel-Expr		
Dies ist eine Frucht.	これは 果物[くだもの]です。	Kore wa kudamono desu.	Beispielsatz		
Wie ist es? / Wie gefällt es Ihnen? /höflich/	いかがですか。	Ikaga desu ka.	Beispielsatz		
Ich habe eine Bento-Box gekauft.	お 弁[べん]当[とう]を 買[か]いました。	Obentou o kaimashita.	Beispielsatz		
Das heutige Abendessen besteht aus Gemüse.	今日[きょう]の 夕[ゆう]飯[はん]は 野[や]菜[さい]です。	Kyou no yuuhan wa yasai desu.	Beispielsatz		
Ich esse um fünf Uhr nachmittags ein Abendessen.	午[ご]後[ご]五[ご]時[じ]夕[ゆう]飯[はん]を 食[た]べます。	Gogo go ji yuuhan o tabemasu.	Beispielsatz		
Wie wäre es mit einer Bento-Box?	お 弁[べん]当[とう]は いかが ですか。	Obentou wa ikaga desu ka.	Beispielsatz		
Diese Frucht schmeckt überhaupt nicht gut.	この 果物[くだもの]は 全[ぜん]然[ぜん]おいしくないです。	Kono kudamono wa zenzen oishikunai desu.	Beispielsatz		
Schmeckt es nicht?	おいしくないですか。	Oishikunai desu ka.	Beispielsatz		
Das Salz, bitte.	塩[しお]をください。	Shio o kudasai.	Beispielsatz		
Es gibt viel Reis.	ご 飯[はん]が 多[おお]いです。	Gohan ga ooi desu.	Beispielsatz		
Ich mag keine Minze. /informell/	ミントが 好[す]きじゃない。	Minto ga suki janai.	Beispielsatz		
Ich mag sie alle.	全[ぜん]部[ぶ]好[す]きです。	Zenbu suki desu.	Beispielsatz		
Eier sind Nahrung.	卵[たまご]は 食[た]べ 物[もの]です。	Tamago wa tabemono desu.	Beispielsatz		
Bitte (geben Sie mir) alles.	全[ぜん]部[ぶ]ください。	Zenbu kudasai.	Beispielsatz		
Nein danke. / Nein, es ist genug.	いいえ、 結[けっ]構[こう]です。	Iie, kekkou desu.	Beispielsatz		
Es ist ziemlich viel Salz, nicht wahr?	塩[しお]が 結[けっ]構[こう]多[おお]いですね。	Shio ga kekkou ooi desu ne.	Beispielsatz		
Alles ist sehr lecker.	全[ぜん]部[ぶ]とても おいしいです。	Zenbu totemo oishii desu.	Beispielsatz		
Bitte (geben Sie mir) etwas zu trinken.	飲[の]み 物[もの]をください。	Nomimono o kudasai.	Beispielsatz		
Es gibt wenig Curry.	カレーが 少[すく]ないです。	Karee ga sukunai desu.	Beispielsatz		
Ich möchte etwas zu trinken.	飲[の]み 物[もの]が 欲[ほ]しいです。	Nomimono ga hoshii desu.	Beispielsatz		
Alkohol (Sake), bitte.	お 酒[さけ]をください。	Osake o kudasai.	Beispielsatz		
Es ist außergewöhnlich lecker.	大[たい]変[へん]おいしいです。	Taihen oishii desu.	Beispielsatz		
Das Restaurant hier ist sehr lecker.	ここのレストランは 大[たい]変[へん]おいしいです。	Koko no resutoran wa taihen oishii desu.	Beispielsatz		
Nein, es ist nicht viel.	いいえ、 多[おお]くないです。	Iie, ookunai desu.	Beispielsatz		
Es gibt überhaupt kein Essen.	まったく 食[た]べ 物[もの]がありません。	Mattaku tabemono ga arimasen.	Beispielsatz		
Es gibt überhaupt nicht viel Alkohol, weißt du.	お 酒[さけ]は まったく 多[おお]くないですよ。	Osake wa mattaku ookunai desu yo.	Beispielsatz		
Es gibt überhaupt nicht viel Milch.	牛[ぎゅう]乳[にゅう]は まったく 多[おお]くないです。	Gyuunyuu wa mattaku ookunai desu.	Beispielsatz		
Lass uns die Bento-Box essen und rausgehen.	お 弁[べん]当[とう]を 食[た]べて、 外[そと]に 行[い]きましょう。	Obentou o tabete, soto ni ikimashou.	Beispielsatz		
Es gibt sehr wenig Ramen.	ラーメンがとても 少[すく]ないです。	Raamen ga totemo sukunai desu.	Beispielsatz		
Wie wäre es mit süßem Obst?	甘[あま]い 果物[くだもの]は いかが ですか。	Amai kudamono wa ikaga desu ka.	Beispielsatz		
Das heutige Abendessen schmeckt überhaupt nicht.	今日[きょう]の 夕[ゆう]飯[はん]は 全[ぜん]然[ぜん]おいしくないです。	Kyou no yuuhan wa zenzen oishikunai desu.	Beispielsatz		
Was möchten Sie trinken?	お 飲[の]み 物[もの]は 何[なに]にしますか。	Onomimono wa nani ni shimasu ka.	Beispielsatz		
In welcher Richtung ist das Gebäude?	建[たて]物[もの]はどちらですか。	Tatemono wa dochira desu ka.	Beispielsatz		
Wo ist der Eingang zum Gebäude?	建[たて]物[もの]の 入[い]り 口[ぐち]はどこですか。	Tatemono no iriguchi wa doko desu ka.	Beispielsatz		
In welcher Richtung ist der Eingang?	入[い]り 口[ぐち]はどちらですか。	Iriguchi wa dochira desu ka.	Beispielsatz		
Wie kehrst du zurück nach Hause?	どうやって 家[いえ]に 帰[かえ]りますか。	Douyatte ie ni kaerimasu ka.	Beispielsatz		
Wie gehe ich zum Mini-Markt?	どうやってコンビニまで 行[い]きますか。	Douyatte konbini made ikimasu ka.	Beispielsatz		
Ich gehe zur Bank.	銀[ぎん]行[こう]に 行[い]きます。	Ginkou ni ikimasu.	Beispielsatz		
Wie gehe ich zur Bank?	どうやって 銀[ぎん]行[こう]まで 行[い]きますか。	Douyatte ginkou made ikimasu ka.	Beispielsatz		
Ich werde um zwei Uhr dorthin gehen.	二[に]時[じ]にそちらへ 行[い]きます。	Ni ji ni sochira e ikimasu.	Beispielsatz		
Das Krankenhaus ist in der/jener Richtung.	病[びょう]院[いん]はそちらです。	Byouin wa sochira desu.	Beispielsatz		
Der Laden ist dort.	お 店[みせ]はそちらです。	Omise wa sochira desu.	Beispielsatz		
Der Weg ist lang.	道[みち]は 長[なが]いです。	Michi wa nagai desu.	Beispielsatz		
Ich verlasse das Krankenhaus.	病[びょう]院[いん]を 出[で]ます。	Byouin o demasu.	Beispielsatz		
Die Bank ist da drüben.	銀[ぎん]行[こう]はあちらです。	Ginkou wa achira desu.	Beispielsatz		
Der Mini-Markt ist auf der anderen Seite.	コンビニは 向[む]こう です。	Konbini wa mukou desu.	Beispielsatz		
Sie verlässt das Haus.	彼[かの]女[じょ]は 家[いえ]を 出[で]ます。	Kanojo wa ie o demasu.	Beispielsatz		
Ich schloss das Fenster und verließ das Haus.	窓[まど]を 閉[し]めて、 家[いえ]を 出[で]ました。	Mado o shimete, ie o demashita.	Beispielsatz		
Auf der anderen Straßenseite gibt es einen Mini-Markt.	道[みち]の 向[む]こうにコンビニがあります。	Michi no mukou ni konbini ga arimasu.	Beispielsatz		
Ich gehe nach Norden.	北[きた]へ 行[い]きます。	Kita e ikimasu.	Beispielsatz		
Dieser Weg geht nach Nordosten.	この 道[みち]は 北[ほく]東[とう]に 行[い]きます。	Kono michi wa hokutou ni ikimasu.	Beispielsatz		
Dies ist Südamerika.	これは 南[みなみ]アメリカです。	Kore wa minami Amerika desu.	Beispielsatz		
Dieser Weg geht nach Süden.	この 道[みち]は 南[みなみ]に 行[い]きます。	Kono michi wa minami ni ikimasu.	Beispielsatz		
Der Mini-Markt befindet sich westlich der Bank.	コンビニは 銀[ぎん]行[こう]の 西[にし]にあります。	Konbini wa ginkou no nishi ni arimasu.	Beispielsatz		
Ich gehe in die Bank (hinein).	銀[ぎん]行[こう]に入[はい]ります。	Ginkou ni hairimasu.	Beispielsatz		
Mein älterer Bruder lebt in einer kleinen Wohnung.	兄[あに]は 小[ちい]さなアパートに 住[す]んで います。	Ani wa chiisana apaato ni sundeimasu.	Beispielsatz		
Wo steigst du aus?	どこで 降[お]りますか。	Doko de orimasu ka.	Beispielsatz		
Die Straße ist in jener Richtung.	通[とお]りはあちらです。	Toori wa achira desu.	Beispielsatz		
Zuerst verlassen Sie das Gebäude.	初[はじ]めに、 建[たて]物[もの]を 出[で]ます。	Hajime ni, tatemono o demasu.	Beispielsatz		
Zuerst gehen Sie nahe einer kleinen Bank vorbei.	初[はじ]めに、 小[ちい]さな 銀[ぎん]行[こう]のそばを 通[とお]ります。	Hajime ni, chiisana ginkou no soba o toorimasu.	Beispielsatz		
Es gibt einen großen Ausgang.	大[おお]きな 出[で]口[ぐち]があります。	Ookina deguchi ga arimasu.	Beispielsatz		
Ich gehe in die Firma (hinein).	会[かい]社[しゃ]に 入[はい]ります。	Kaisha ni hairimasu.	Beispielsatz		
Ich steige an diesem Bahnhof nicht aus.	この 駅[えき]で 降[お]りません。	Kono eki de orimasen.	Beispielsatz		
Bitte öffnen Sie den Laden jetzt.	お 店[みせ]を 今[いま]開[あ]けて ください。	Omise o ima akete kudasai.	Beispielsatz		
Das Krankenhaus befindet sich südlich des Mini-Markts.	病[びょう]院[いん]はコンビニの 南[みなみ]にあります。	Byouin wa konbini no minami ni arimasu.	Beispielsatz		
Kyoto liegt nördlich von Osaka.	京[きょう]都[と]は 大[おお]阪[さか]の 北[きた]にあります。	Kyouto wa Oosaka no kita ni arimasu.	Beispielsatz		
Osaka liegt südlich von Kyoto.	大[おお]阪[さか]は 京[きょう]都[と]の 南[みなみ]にあります。	Oosaka wa Kyouto no minami ni arimasu.	Beispielsatz		
Bauch, Magen, Leib /höflich/	お 腹[なか]	onaka	Vokabel-Nomen		
Becher, Trinkglas	コップ	koppu	Vokabel-Katakana		
Teller, Geschirr /höflich/	お 皿[さら]	osara	Vokabel-Nomen		
Essstäbchen /höflich/	お 箸[はし]	ohashi	Vokabel-Nomen		
wir sollten reinigen, lasst uns waschen /höflich, Absicht, Aufford./	洗[あら]いましょう	araimashou	Vokabel-Verb-5st	洗[あら]う	arau
leer geworden sein /höflich/	空[す]きました	sukimashita	Vokabel-Verb-5st	空[す]く	suku
nicht leer sein /höflich/	空[す]きません	sukimasen	Vokabel-Verb-5st	空[す]く	suku
Messer	ナイフ	naifu	Vokabel-Katakana		
Löffel	スプーン	supuun	Vokabel-Katakana		
Gabel	フォーク	fooku	Vokabel-Katakana		
ein (zyl.-förm. Ding, Film, Telefonanruf, usw.)	一本[いっぽん]	ippon	Vokabel-Num		
Schüssel, Schale	ボウル	bouru	Vokabel-Katakana		
Sushi /höflich/	お 寿[す]司[し]	osushi	Vokabel-Nomen		
Teeschälchen, Reisschälchen, Schälchen	茶[ちゃ]碗[わん]	chawan	Vokabel-Nomen		
Hälfte; halb	半[はん]分[ぶん]	hanbun	Vokabel-Nomen		
Glas, Trinkglas	グラス	gurasu	Vokabel-Katakana		
Leibgericht, Lieblingsessen	好[こう]物[ぶつ]	koubutsu	Vokabel-Nomen		
Traube, Weintraube	ぶどう	budou	Vokabel-Nomen		
(westliche) Suppe	スープ	suupu	Vokabel-Katakana		
Zitrone, Limone	レモン	remon	Vokabel-Katakana		
Wein	ワイン	wain	Vokabel-Katakana		
sauer	酸[す]っぱい	suppai	Vokabel-Adj-i		
die Farbe weiß	白[しろ]	shiro	Vokabel-Nomen		
die Farbe rot	赤[あか]	aka	Vokabel-Nomen		
nicht salzig	塩[しょ]っぱくない	shoppakunai	Vokabel-Adj-i		
nicht sauer	酸[す]っぱくない	suppakunai	Vokabel-Adj-i		
zwei (zyl.-förm. Dinge, Filme, Telefonanrufe, usw.)	二本[にほん]	nihon	Vokabel-Num		
November	十[じゅう]一[いち]月[がつ]	juuichigatsu	Vokabel-Nomen		
Mai	五[ご]月[がつ]	gogatsu	Vokabel-Nomen		
Februar	二[に]月[がつ]	nigatsu	Vokabel-Nomen		
Januar	一[いち]月[がつ]	ichigatsu	Vokabel-Nomen		
April	四月[しがつ]	shigatsu	Vokabel-Nomen		
dritter Tag des Monats; drei Tage	三日[みっか]	mikka	Vokabel-Nomen		
Oktober	十[じゅう]月[がつ]	juugatsu	Vokabel-Nomen		
ein Tag	一[いち]日[にち]	ichinichi	Vokabel-Num		
erster Tag des Monats	一日[ついたち]	tsuitachi	Vokabel-Nomen		
zweiter Tag des Monats; zwei Tage	二日[ふつか]	futsuka	Vokabel-Nomen		
vierter Tag des Monats; vier Tage	四日[よっか]	yokka	Vokabel-Nomen		
gedauert haben, erfordert haben, gebraucht haben	かかりました	kakarimashita	Vokabel-Verb-5st	かかる	kakaru
fünfter Tag des Monats; fünf Tage	五日[いつか]	itsuka	Vokabel-Nomen		
März	三[さん]月[がつ]	sangatsu	Vokabel-Nomen		
Juni	六[ろく]月[がつ]	rokugatsu	Vokabel-Nomen		
August	八[はち]月[がつ]	hachigatsu	Vokabel-Nomen		
Dezember	十[じゅう]二[に]月[がつ]	juunigatsu	Vokabel-Nomen		
siebenter Tag des Monats; sieben Tage	七日[なのか]	nanoka	Vokabel-Nomen		
ein Jahr	一[いち]年[ねん]	ichinen	Vokabel-Num		
zwei Jahre	二[に]年[ねん]	ninen	Vokabel-Num		
sechster Tag des Monats; sechs Tage	六日[むいか]	muika	Vokabel-Nomen		
neunter Tag des Monats; neun Tage	九日[ここのか]	kokonoka	Vokabel-Nomen		
achter Tag des Monats; acht Tage	八日[ようか]	youka	Vokabel-Nomen		
zehnter Tag des Monats; zehn Tage	十日[とおか]	tooka	Vokabel-Nomen		
jedes Jahr, jährlich	毎[まい]年[とし]	maitoshi	Vokabel-Adverb		
letztes Jahr, vergangenes Jahr, voriges Jahr, Vorjahr	去[きょ]年[ねん]	kyonen	Vokabel-Adverb		
dieses Jahr	今年[ことし]	kotoshi	Vokabel-Adverb		
Jahr	年[とし]	toshi	Vokabel-Nomen		
nächstes Jahr, kommendes Jahr	来[らい]年[ねん]	rainen	Vokabel-Nomen		
zwanzigster Tag des Monats; zwanzig Tage	二十日[はつか]	hatsuka	Vokabel-Nomen		
welches Jahr; wie viele Jahre	何[なん]年[ねん]	nannen	Vokabel-Nomen		
gegessen haben /höflich/	食[た]べました	tabemashita	Vokabel-Verb-1st	食[た]べる	taberu
jeden Monat, monatlich	毎[まい]月[つき]	maitsuki	Vokabel-Adverb		
übernächstes Jahr	再[さ]来[らい]年[ねん]	sarainen	Vokabel-Nomen		
vorletztes Jahr	一昨年[おととし]	ototoshi	Vokabel-Nomen		
ein Monat	一ヶ月[いっかげつ]	ikkagetsu	Vokabel-Num		
zwei Monate	二ヶ月[にかげつ]	nikagetsu	Vokabel-Num		
elf Monate	十[じゅう]一ヶ月[いっかげつ]	juu ikkagetsu	Vokabel-Num		
zwölf Monate	十[じゅう]二ヶ月[にかげつ]	juu nikagetsu	Vokabel-Num		
zehn Monate	十ヶ月[じゅっかげつ]	jukkagetsu	Vokabel-Num		
herzlichen Glückwunsch	おめでとう	omedetou	Vokabel-Expr		
Woche	週[しゅう]間[かん]	shuukan	Vokabel-Nomen		
Geburtstag	誕[たん]生[じょう]日[び]	tanjoubi	Vokabel-Nomen		
eine Woche	一[いっ]週[しゅう]間[かん]	isshuukan	Vokabel-Num		
Geburtstag /höflich/	お 誕[たん]生[じょう]日[び]	otanjoubi	Vokabel-Nomen		
Drei Becher, bitte.	コップを 三[みっ]つください。	Koppu o mittsu kudasai.	Beispielsatz		
Essstäbchen, bitte.	お 箸[はし]をください。	Ohashi o kudasai.	Beispielsatz		
Einen Teller, bitte.	お 皿[さら]を 一[いち]枚[まい]ください。	Osara o ichi mai kudasai.	Beispielsatz		
Lass uns das Geschirr spülen.	お 皿[さら]を 洗[あら]いましょう。	Osara o araimashou.	Beispielsatz		
